LONGITUD,LATITUD,ACTIVIDAD,TIPO,ESTADO
-75.32800121,-11.27233551,Electricidad,ITS,Aprobado
-71.7723,-14.4711,Mineria,ITS,Aprobado
-70.3237,-14.2258,Mineria,ITS,Aprobado
-76.31988958,-11.50224952,Mineria,ITS,Aprobado
-76.22810707,-13.77735516,Hidrocarburos,ITS,Aprobado
-76.41,-11.0101,Mineria,ITS,Aprobado
-75.2085,-15.274,Mineria,ITS,Aprobado
-75.1593,-15.2315,Mineria,Clasificacion,Aprobado
-81.16118187,-4.28121767,Hidrocarburos,ITS,Aprobado
-78.69104144,-6.73433487,Mineria,ITS,Aprobado
-78.62061249,-6.76329946,Mineria,ITS,Aprobado
-74.90828184,-15.46485168,Electricidad,Clasificacion,Aprobado
-76.5035,-11.6613,Electricidad,Clasificacion,Aprobado
-78.69104144,-6.73433487,Mineria,ITS,Aprobado
-74.9474093,-15.44615157,Electricidad,Clasificacion,Aprobado
-76.2155,-10.5793,Mineria,ITS,Aprobado
-73.0767,-12.2132,Hidrocarburos,ITS,Aprobado
-77.86909847,-6.32619989,Transportes,Clasificacion,Aprobado
-78.2039437,-7.61396927,Mineria,ITS,Aprobado
-77.05330294,-9.54451496,Mineria,Clasificacion,Aprobado
-72.94512506,-11.83155669,Hidrocarburos,ITS,Aprobado
-75.0617,-15.1625,Mineria,ITS,Aprobado
-81.17951503,-4.33140322,Hidrocarburos,ITS,Aprobado
-76.7469,-10.4578,Mineria,ITS,Aprobado
-71.2618,-14.9546,Mineria,MEIA-d,Aprobado
-80.631,-3.7036,Hidrocarburos,ITS,Aprobado
-77.0335,-9.9549,Mineria,Clasificacion,Aprobado
-76.47507071,-8.87111593,Electricidad,Clasificacion,Aprobado
-74.3612,-11.2267,Hidrocarburos,ITS,Aprobado
-74.987972,-13.06348195,Mineria,ITS,Aprobado
-76.97260448,-6.06786698,Electricidad,ITS,Aprobado
-72.34812065,-15.2742392,Mineria,ITS,Aprobado
-76.31236406,-13.2571091,Hidrocarburos,ITS,Aprobado
-72.97840637,-11.84987252,Hidrocarburos,ITS,Aprobado
-80.24917822,-3.48830546,Agricultura,IGAPRO,Aprobado
-79.28232995,-5.93489793,Transportes,ITS,Aprobado
-70.4776638,-13.80450909,Transportes,ITS,Aprobado
-76.17448791,-13.77912664,Mineria,ITS,Aprobado
-81.23100692,-4.68613935,Hidrocarburos,ITS,Aprobado
-81.28524297,-4.57665534,Hidrocarburos,ITS,Aprobado
-81.23100692,-4.68613935,Hidrocarburos,ITS,Aprobado
-78.5410714,-6.98982411,Mineria,ITS,Aprobado
-77.27812268,-11.58641255,Transportes,EIA-d,Aprobado
-76.673,-11.92349718,Agricultura,IGAPRO,Aprobado
-81.28962807,-4.67457406,Hidrocarburos,ITS,Aprobado
-75.99558315,-13.09060665,Mineria,ITS,Aprobado
-72.3204,-14.9669,Mineria,ITS,Aprobado
-71.85063662,-15.19706491,Mineria,ITS,Aprobado
-71.60369033,-13.67505976,Transportes,ITS,Aprobado
-73.13370767,-3.58303267,Transportes,Clasificacion,Aprobado
-69.56125863,-11.1009739,Transportes,ITS,Aprobado
-76.9939791,-12.03996481,Transportes,ITS,Aprobado
-77.05601423,-9.95012327,Mineria,MEIA-d,Aprobado
-70.69422398,-17.16521559,Mineria,ITS,Aprobado
-73.3014,-14.5329,Electricidad,ITS,Aprobado
-79.1692481,-6.00264948,Transportes,ITS,Aprobado
-73.96729044,-11.90912138,Transportes,Clasificacion,Aprobado
-79.57943138,-7.12154124,Agricultura,Clasificacion,Aprobado
-72.96531854,-11.30276426,Transportes,Clasificacion,Aprobado
-75.06173559,-15.16248845,Mineria,MEIA-d,Aprobado
-76.79547101,-9.73926399,Transportes,Clasificacion,Aprobado
-70.42443186,-13.50716669,Electricidad,EIA-d,Aprobado
-69.34086411,-11.43418988,Transportes,ITS,Aprobado
-69.12348023,-11.91809723,Transportes,ITS,Aprobado
-73.0302,-11.8035,Hidrocarburos,Clasificacion,Aprobado
-70.32541821,-14.22957477,Mineria,ITS,Aprobado
-75.10423389,-8.83863417,Hidrocarburos,ITS,Aprobado
-78.69104144,-6.73433487,Mineria,ITS,Aprobado
-72.31043183,-14.07406315,Mineria,MEIA-d,Aprobado
-70.57982855,-16.20493806,Mineria,ITS,Aprobado
-71.87181486,-16.62430383,Transportes,Clasificacion,Aprobado
-77.17109848,-11.08480857,Electricidad,ITS,Aprobado
-69.3330244,-11.44025246,Transportes,ITS,Aprobado
-69.40880332,-12.52690293,Transportes,ITS,Aprobado
-75.0756,-15.1505,Mineria,ITS,Aprobado
-77.1358,-11.918,Hidrocarburos,ITS,Aprobado
-69.3845,-14.5812,Mineria,ITS,Aprobado
-76.0079,-9.8393,Electricidad,EIA-d,Aprobado
-79.3585903,-6.87266482,Electricidad,ITS,Aprobado
-77.11036284,-11.03638166,Electricidad,ITS,Aprobado
-76.97699832,-12.11979156,Electricidad,Clasificacion,Aprobado
-78.132,-7.8936,Mineria,ITS,Aprobado
-76.7465,-10.4579,Mineria,ITS,Aprobado
-78.5411,-6.9898,Mineria,ITS,Aprobado
-78.4859,-6.9761,Mineria,ITS,Aprobado
-76.1724177,-10.30733231,Transportes,Clasificacion,Aprobado
-78.89867199,-6.83010821,Mineria,ITS,Aprobado
-76.72114929,-10.78726025,Mineria,MEIA-d,Aprobado
-76.8828,-11.9672,Mineria,ITS,Aprobado
-73.1451835,-11.54034582,Hidrocarburos,ITS,Aprobado
-81.2428,-4.4909,Hidrocarburos,ITS,Aprobado
-76.97907964,-12.06613259,Electricidad,Clasificacion,Aprobado
-78.98216575,-8.22850404,Transportes,EIA-d,Aprobado
-72.10108116,-17.00195803,Transportes,ITS,Aprobado
-73.21923662,-3.64086648,Electricidad,ITS,Aprobado
-80.23392449,-3.52686767,Agricultura,IGAPRO,Aprobado
-73.23711362,-14.91869936,Mineria,ITS,Aprobado
-73.23322802,-14.96308882,Mineria,Clasificacion,Aprobado
-71.84829881,-16.6453027,Residuos Solidos,Clasificacion,Aprobado
-79.24083528,-5.94512761,Transportes,ITS,Aprobado
-76.29542588,-9.9252686,Transportes,ITS,Aprobado
-74.99229163,-12.50236024,Transportes,Clasificacion,Aprobado
-72.94039131,-11.82044162,Hidrocarburos,EIA-d,Aprobado
-78.20932057,-8.54035946,Transportes,Clasificacion,Aprobado
-71.9778932,-17.03838228,Electricidad,ITS,Aprobado
-71.79547395,-16.98247657,Mineria,ITS,Aprobado
-81.2866,-4.4617,Hidrocarburos,ITS,Aprobado
-74.94230506,-4.88373171,Hidrocarburos,ITS,Aprobado
-77.1323,-12.0452,Mineria,ITS,Aprobado
-74.38994526,-12.57526094,Mineria,ITS,Aprobado
-72.34836713,-15.27492198,Mineria,ITS,Aprobado
-81.05366671,-4.9092574,Hidrocarburos,Clasificacion,Aprobado
-73.21923662,-3.64086648,Electricidad,ITS,Aprobado
-78.88960244,-7.59499228,Transportes,Clasificacion,Aprobado
-76.74397015,-10.45685434,Mineria,MEIA-d,Aprobado
-77.58911291,-7.77450113,Mineria,ITS,Aprobado
-77.79365248,-8.22352494,Mineria,ITS,Aprobado
-74.9788315,-12.39202775,Mineria,Clasificacion,Aprobado
-76.27104119,-10.75828603,Mineria,ITS,Aprobado
-71.35692056,-17.49468537,Mineria,ITS,Aprobado
-71.84656284,-15.65185783,Electricidad,Clasificacion,Aprobado
-70.39899865,-13.15209764,Mineria,ITS,Aprobado
-76.90296067,-6.12363936,Transportes,ITS,Aprobado
-71.36089926,-13.65938825,Transportes,ITS,Aprobado
-77.15682319,-9.90868177,Agricultura,Clasificacion,Aprobado
-76.95032765,-12.01927739,Transportes,Clasificacion,Aprobado
-75.99279245,-9.28966138,Electricidad,ITS,Aprobado
-74.99228473,-12.50225678,Transportes,Clasificacion,Aprobado
-76.50991198,-8.18470093,Electricidad,ITS,Aprobado
-70.0508,-15.8311,Electricidad,ITS,Aprobado
-75.16466209,-15.27020579,Mineria,ITS,Aprobado
-69.38993459,-14.58986452,Mineria,ITS,Aprobado
-78.24752834,-7.9445874,Mineria,ITS,Aprobado
-78.6297,-6.7658,Mineria,MEIA-d,Aprobado
-74.80457437,-12.94399997,Mineria,ITS,Aprobado
-72.09902547,-17.00504958,Mineria,ITS,Aprobado
-79.20571504,-5.97675665,Transportes,ITS,Aprobado
-78.97596135,-6.02150556,Transportes,ITS,Aprobado
-79.83084656,-6.7919397,Transportes,Clasificacion,Aprobado
-78.85800693,-6.00821737,Transportes,ITS,Aprobado
-77.09946566,-9.41147478,Transportes,Clasificacion,Aprobado
-76.13276867,-11.59644155,Mineria,ITS,Aprobado
-77.84703518,-8.80356492,Electricidad,ITS,Aprobado
-72.44944156,-16.51871612,Residuos Solidos,EIA-sd,Aprobado
-76.388,-10.6964,Mineria,ITS,Aprobado
-75.47462657,-14.5045748,Electricidad,Clasificacion,Aprobado
-74.8018,-12.9354,Mineria,ITS,Aprobado
-81.11821108,-4.90971951,Hidrocarburos,ITS,Aprobado
-76.38889557,-6.50224472,Transportes,ITS,Aprobado
-78.8508127,-5.97043324,Transportes,ITS,Aprobado
-70.6509,-17.2892,Electricidad,MEIA-d,Aprobado
-70.4367,-13.5767,Electricidad,ITS,Aprobado
-71.7152,-16.3973,Agricultura,Clasificacion,Aprobado
-76.1269,-11.5929,Mineria,ITS,Aprobado
-72.06715109,-13.39067752,Transportes,ITS,Aprobado
-73.17972761,-14.72682934,Mineria,ITS,Aprobado
-76.28201664,-10.44032012,Mineria,ITS,Aprobado
-76.51995523,-11.19476065,Mineria,ITS,Aprobado
-76.23282912,-11.62895294,Mineria,ITS,Aprobado
-76.2856,-10.7663,Mineria,ITS,Aprobado
-73.21950763,-3.6398625,Hidrocarburos,ITS,Aprobado
-70.3254,-14.2296,Mineria,MEIA-d,Aprobado
-75.5069,-6.6543,Hidrocarburos,Clasificacion,Aprobado
-81.2669,-4.536,Electricidad,ITS,Aprobado
-80.53176013,-5.92930068,Electricidad,ITS,Aprobado
-76.229,-13.7705,Hidrocarburos,ITS,Aprobado
-71.590166,-16.55320085,Mineria,ITS,Aprobado
-77.4513,-8.0457,Mineria,ITS,Aprobado
-76.91203812,-12.20313365,Electricidad,ITS,Aprobado
-70.43665613,-13.57665682,Electricidad,ITS,Aprobado
-70.32579678,-14.22933763,Mineria,ITS,Aprobado
-76.4285,-11.0292,Mineria,MEIA-d,Aprobado
-74.87398359,-8.55238018,Agricultura,Clasificacion,Aprobado
-78.48586496,-6.97612352,Mineria,ITS,Aprobado
-74.98253851,-13.07208122,Mineria,ITS,Aprobado
-70.82776413,-15.25001665,Mineria,ITS,Aprobado
-78.52920291,-6.99439182,Mineria,MEIA-d,Aprobado
-74.20615389,-12.78431528,Transportes,Clasificacion,Aprobado
-77.3180964,-5.93881035,Agricultura,Clasificacion,Aprobado
-71.1886461,-17.24363886,Electricidad,Clasificacion,Aprobado
-80.98726964,-5.34577057,Hidrocarburos,ITS,Aprobado
-70.90075458,-13.4061613,Transportes,ITS,Aprobado
-71.77345219,-17.13433216,Transportes,Clasificacion,Aprobado
-76.20517965,-10.61611424,Mineria,ITS,Aprobado
-76.12218276,-11.59123846,Mineria,MEIA-d,Aprobado
-73.23711362,-14.91869936,Mineria,ITS,Aprobado
-79.88137228,-5.6334736,Transportes,ITS,Aprobado
-76.2881288,-6.42455468,Transportes,ITS,Aprobado
-70.39899865,-13.15209764,Transportes,ITS,Aprobado
-76.73850797,-11.96213824,Transportes,Clasificacion,Aprobado
-75.07241493,-10.50826077,Transportes,Clasificacion,Aprobado
-78.48291233,-5.71793437,Transportes,ITS,Aprobado
-76.75744149,-7.13948572,Transportes,Clasificacion,Aprobado
-77.11823595,-12.00663241,Transportes,ITS,Aprobado
-71.07162842,-17.2771053,Residuos Solidos,Clasificacion,Aprobado
-76.42252172,-11.0317116,Mineria,ITS,Aprobado
-71.51414201,-16.4699932,Electricidad,ITS,Aprobado
-75.08891401,-14.90795176,Agricultura,Clasificacion,Aprobado
-81.26097658,-4.50845286,Hidrocarburos,ITS,Aprobado
-80.74383898,-3.59231584,Hidrocarburos,ITS,Aprobado
-75.06173559,-15.16248845,Mineria,ITS,Aprobado
-70.32541821,-14.22957477,Mineria,ITS,Aprobado
-69.66784948,-17.61102808,Mineria,Clasificacion,Aprobado
-77.45133776,-8.04570552,Mineria,ITS,Aprobado
-78.20191828,-7.61210397,Mineria,ITS,Aprobado
-76.9432,-12.2414,Hidrocarburos,EIA-d,Aprobado
